<Clock>[ms],<Lat>[rad],<Lon>[rad],<Height>[m]
778142,0.600313191,1.230549509,515.58
779142,0.600313196,1.230549509,515.6
780142,0.600313196,1.230549504,515.59
781142,0.600313196,1.230549504,515.61
782142,0.600313196,1.230549509,515.62
783142,0.600313201,1.230549509,515.6
784142,0.600313215,1.23054946,515.62
785142,0.600313239,1.230549349,515.58
786142,0.600313254,1.230549242,515.61
787142,0.600313268,1.230549145,515.65
788142,0.600313288,1.230549063,515.63
789142,0.600313302,1.230549009,515.62
790142,0.600313302,1.230549005,515.64
791142,0.600313312,1.230549,515.64
792142,0.600313322,1.23054899,515.64
793142,0.600313346,1.230548937,515.72
794142,0.600313346,1.230548922,515.7
795142,0.600313351,1.230548908,515.67
796142,0.60031338,1.230548849,515.71
797142,0.600313385,1.230548849,515.73
798142,0.60031338,1.230548879,515.72
799142,0.60031338,1.230548869,515.71
800143,0.60031338,1.230548869,515.71
801142,0.60031338,1.230548922,515.68
802142,0.600313399,1.230548912,515.67
803142,0.600313395,1.230548937,515.62
804142,0.60031339,1.230549029,515.57
805142,0.600313395,1.230549024,515.57
806142,0.600313419,1.230548908,515.57
807142,0.600313443,1.230548859,515.6
808142,0.600313438,1.230548845,515.58
809142,0.600313438,1.23054884,515.58
810142,0.600313438,1.230548845,515.67
811142,0.600313428,1.230548854,515.72
812142,0.600313414,1.230548854,515.76
813142,0.600313395,1.230548835,515.75
814142,0.600313404,1.23054884,515.72
815142,0.600313409,1.230548845,515.68
816142,0.600313419,1.230548845,515.7
817142,0.600313419,1.23054884,515.7
818142,0.60031337,1.230548752,515.78
819142,0.600313302,1.230548641,515.8
820142,0.600313235,1.230548554,515.8
821142,0.600313205,1.230548481,515.81
822142,0.600313215,1.230548394,515.81
823142,0.60031323,1.230548374,515.82
824142,0.600313254,1.230548374,515.81
825142,0.600313259,1.230548374,515.85
826142,0.600313259,1.230548374,515.82
827142,0.600313268,1.230548384,515.82
828142,0.600313273,1.230548403,515.81
829142,0.600313273,1.230548413,515.79
830142,0.600313264,1.230548413,515.75
831142,0.600313264,1.230548413,515.77
832142,0.600313264,1.230548413,515.76
833142,0.600313259,1.230548413,515.75
834142,0.600313259,1.230548413,515.76
835142,0.600313259,1.230548413,515.76
836142,0.600313259,1.230548408,515.76
837142,0.600313259,1.230548408,515.76
838142,0.600313259,1.230548408,515.75
839142,0.600313254,1.230548408,515.75
840142,0.600313259,1.230548403,515.76
841142,0.600313259,1.230548403,515.76
842142,0.600313254,1.230548403,515.77
843142,0.600313254,1.230548403,515.76
844142,0.600313254,1.230548403,515.76
845142,0.600313254,1.230548403,515.75
846142,0.600313254,1.230548403,515.76
847142,0.600313254,1.230548403,515.76
848142,0.600313254,1.230548403,515.76
849142,0.600313254,1.230548403,515.76
850142,0.600313254,1.230548403,515.75
851142,0.600313254,1.230548403,515.75
852142,0.600313254,1.230548403,515.76
853142,0.600313254,1.230548403,515.76
854142,0.600313254,1.230548403,515.75
855142,0.600313254,1.230548403,515.76
856142,0.600313254,1.230548403,515.76
857142,0.600313254,1.230548403,515.75
858142,0.600313254,1.230548403,515.75
859142,0.600313254,1.230548403,515.74
860142,0.600313254,1.230548403,515.74
861142,0.600313254,1.230548403,515.74
862142,0.600313254,1.230548403,515.73
863142,0.600313254,1.230548403,515.73
864142,0.600313254,1.230548403,515.73
865142,0.600313254,1.230548403,515.73
866142,0.600313254,1.230548399,515.73
867142,0.600313254,1.230548399,515.73
868142,0.600313254,1.230548399,515.73
869142,0.600313249,1.230548403,515.72
870142,0.600313249,1.230548403,515.72
871142,0.600313249,1.230548403,515.72
872142,0.600313254,1.230548403,515.72
873142,0.600313254,1.230548403,515.73
874142,0.600313254,1.230548403,515.73
875142,0.600313254,1.230548403,515.73
876142,0.600313254,1.230548403,515.72
877142,0.600313254,1.230548403,515.71
878142,0.600313254,1.230548403,515.7
879142,0.600313254,1.230548403,515.71
880142,0.600313254,1.230548403,515.71
881142,0.600313254,1.230548403,515.71
882142,0.600313254,1.230548403,515.71
883142,0.600313254,1.230548399,515.71
884142,0.600313254,1.230548399,515.72
885142,0.600313254,1.230548399,515.71
886142,0.600313254,1.230548399,515.72
887142,0.600313249,1.230548403,515.74
888142,0.600313235,1.230548374,515.86
889142,0.600313157,1.23054835,515.95
890142,0.600313108,1.230548326,516.15
891142,0.60031305,1.230548374,516.17
892142,0.600313012,1.230548457,516.12
893142,0.600312982,1.230548588,516.11
894142,0.600312997,1.230548752,516.03
895142,0.600313065,1.230548864,515.9
896142,0.600313099,1.230548917,515.62
897142,0.600313123,1.230548971,515.44
898142,0.600313181,1.230549005,515.26
899142,0.600313215,1.230549039,515.11
900142,0.600313244,1.230549077,515.17
901142,0.600313283,1.230549116,515.18
902142,0.600313322,1.230549145,515.27
903142,0.600313365,1.23054915,515.33
904142,0.600313375,1.230549145,515.42
905142,0.600313385,1.23054914,515.51
906142,0.60031339,1.230549121,515.5
907142,0.600313375,1.230549092,515.57
908142,0.600313361,1.230549077,515.65
